1
TAXI 100
180,721,KAMUROCHO;SOTENBORI,KAMUROCHO TAXI,
37,300,KAMUROCHO,KAMUROCHO TAXI,
267,149,KAMUROCHO,KAMUROCHO TAXI,
386,722,KAMUROCHO,KAMUROCHO TAXI,
576,282,KAMUROCHO,KAMUROCHO TAXI,
577,523,KAMUROCHO,KAMUROCHO TAXI,
71,440,KAMUROCHO,,
179,579,KAMUROCHO,,
194,399,KAMUROCHO,,
295,228,KAMUROCHO,,
355,497,KAMUROCHO,,
410,617,KAMUROCHO,,
445,361,KAMUROCHO,,
1152,287,SOTENBORI;KAMUROCHO,SOTENBORI TAXI,
693,80,SOTENBORI,SOTENBORI TAXI,
703,280,SOTENBORI,SOTENBORI TAXI,
902,477,SOTENBORI,SOTENBORI TAXI,
1148,105,SOTENBORI,SOTENBORI TAXI,
739,467,SOTENBORI,,
757,228,SOTENBORI,,
904,374,SOTENBORI,,
1084,154,SOTENBORI,,
